"","cond((Int))","disp((Int))","cond(bait)","cond(farm)","df","logLik","AICc","delta","weight"
"4",2.19489078086941,"+","+","+",11,-2221.30558555714,4464.93470052605,0,0.622178204026053
"3",2.10783028006917,"+",NA,"+",6,-2226.98801474336,4466.07834373763,1.14364321158155,0.351217239357214
"2",1.66625681272667,"+","+",NA,10,-2225.92792408557,4472.12512601691,7.19042549086589,0.0170818040773843
"1",1.56765819021078,"+",NA,NA,5,-2231.61039652672,4473.29378575416,8.35908522811587,0.00952275253934839
