"","cond((Int))","disp((Int))","cond(bait)","cond(farm)","df","logLik","AICc","delta","weight"
"4",2.19489078086941,"+","+","+",11,-2221.30558555714,4464.93470052605,0,0.639183394842619
"3",2.10783028006917,"+",NA,"+",6,-2226.98801474336,4466.07834373763,1.14364321158155,0.360816605157381
